pwm,repeat,side,hall,opto,expected_opto,signed_error_pct,ratio_opto_per_hall
10,1,L,12,16,16.0,0.0,1.3333333333333333
10,1,R,13,18,17.333333333333332,3.8461538461538534,1.3846153846153846
10,2,L,13,17,17.333333333333332,-1.9230769230769165,1.3076923076923077
10,2,R,14,19,18.666666666666664,1.7857142857142987,1.3571428571428572
10,3,L,13,16,17.333333333333332,-7.692307692307685,1.2307692307692308
10,3,R,14,19,18.666666666666664,1.7857142857142987,1.3571428571428572
15,1,L,24,29,32.0,-9.375,1.2083333333333333
15,1,R,24,32,32.0,0.0,1.3333333333333333
15,2,L,24,30,32.0,-6.25,1.25
15,2,R,25,34,33.33333333333333,2.0000000000000147,1.36
15,3,L,23,28,30.666666666666664,-8.695652173913036,1.2173913043478262
15,3,R,25,33,33.33333333333333,-0.9999999999999859,1.32
20,1,L,32,46,42.666666666666664,7.812500000000006,1.4375
20,1,R,33,45,44.0,2.272727272727273,1.3636363636363635
20,2,L,32,45,42.666666666666664,5.468750000000006,1.40625
20,2,R,34,44,45.33333333333333,-2.9411764705882253,1.2941176470588236
20,3,L,33,41,44.0,-6.818181818181818,1.2424242424242424
20,3,R,34,47,45.33333333333333,3.676470588235305,1.3823529411764706
25,1,L,43,59,57.33333333333333,2.9069767441860552,1.372093023255814
25,1,R,44,60,58.666666666666664,2.272727272727277,1.3636363636363635
25,2,L,42,62,56.0,10.714285714285714,1.4761904761904763
25,2,R,43,59,57.33333333333333,2.9069767441860552,1.372093023255814
25,3,L,42,59,56.0,5.357142857142857,1.4047619047619047
25,3,R,44,59,58.666666666666664,0.5681818181818222,1.3409090909090908
30,1,L,52,74,69.33333333333333,6.730769230769238,1.4230769230769231
30,1,R,54,74,72.0,2.7777777777777777,1.3703703703703705
30,2,L,53,72,70.66666666666666,1.8867924528302022,1.3584905660377358
30,2,R,54,72,72.0,0.0,1.3333333333333333
30,3,L,53,74,70.66666666666666,4.716981132075485,1.3962264150943395
30,3,R,54,73,72.0,1.3888888888888888,1.3518518518518519
35,1,L,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,1,R,62,86,82.66666666666666,4.0322580645161405,1.3870967741935485
35,2,L,62,83,82.66666666666666,0.4032258064516244,1.3387096774193548
35,2,R,62,86,82.66666666666666,4.0322580645161405,1.3870967741935485
35,3,L,61,83,81.33333333333333,2.0491803278688585,1.360655737704918
35,3,R,63,82,84.0,-2.380952380952381,1.3015873015873016
40,1,L,72,88,96.0,-8.333333333333334,1.2222222222222223
40,1,R,73,97,97.33333333333333,-0.3424657534246527,1.3287671232876712
40,2,L,71,93,94.66666666666666,-1.7605633802816802,1.3098591549295775
40,2,R,73,103,97.33333333333333,5.821917808219184,1.4109589041095891
40,3,L,71,96,94.66666666666666,1.4084507042253622,1.352112676056338
40,3,R,73,101,97.33333333333333,3.7671232876712377,1.3835616438356164
50,1,L,90,122,120.0,1.6666666666666667,1.3555555555555556
50,1,R,92,121,122.66666666666666,-1.3586956521739055,1.315217391304348
50,2,L,90,118,120.0,-1.6666666666666667,1.3111111111111111
50,2,R,92,121,122.66666666666666,-1.3586956521739055,1.315217391304348
50,3,L,90,127,120.0,5.833333333333333,1.4111111111111112
50,3,R,91,126,121.33333333333333,3.8461538461538503,1.3846153846153846
60,1,L,108,147,144.0,2.0833333333333335,1.3611111111111112
60,1,R,109,145,145.33333333333331,-0.2293577981651246,1.3302752293577982
60,2,L,108,147,144.0,2.0833333333333335,1.3611111111111112
60,2,R,109,142,145.33333333333331,-2.2935779816513633,1.3027522935779816
60,3,L,108,146,144.0,1.3888888888888888,1.3518518518518519
60,3,R,109,150,145.33333333333331,3.21100917431194,1.3761467889908257
70,1,L,125,167,166.66666666666666,0.2000000000000057,1.336
70,1,R,126,165,168.0,-1.7857142857142858,1.3095238095238095
70,2,L,124,174,165.33333333333331,5.2419354838709795,1.403225806451613
70,2,R,126,167,168.0,-0.5952380952380952,1.3253968253968254
70,3,L,124,171,165.33333333333331,3.4274193548387215,1.3790322580645162
70,3,R,126,166,168.0,-1.1904761904761905,1.3174603174603174
80,1,L,141,188,188.0,0.0,1.3333333333333333
80,1,R,143,192,190.66666666666666,0.6993006993007043,1.3426573426573427
80,2,L,141,181,188.0,-3.723404255319149,1.2836879432624113
80,2,R,143,187,190.66666666666666,-1.9230769230769182,1.3076923076923077
80,3,L,142,177,189.33333333333331,-6.514084507042244,1.2464788732394365
80,3,R,142,192,189.33333333333331,1.4084507042253622,1.352112676056338
