pwm,repeat,side,hall,opto,expected_opto,signed_error_pct,ratio_opto_per_hall
10,1,L,13,16,17.333333333333332,-7.692307692307685,1.2307692307692308
10,1,R,15,19,20.0,-5.0,1.2666666666666666
10,2,L,13,18,17.333333333333332,3.8461538461538534,1.3846153846153846
10,2,R,13,19,17.333333333333332,9.615384615384624,1.4615384615384615
10,3,L,12,17,16.0,6.25,1.4166666666666667
10,3,R,14,19,18.666666666666664,1.7857142857142987,1.3571428571428572
15,1,L,23,26,30.666666666666664,-15.217391304347819,1.1304347826086956
15,1,R,25,32,33.33333333333333,-3.9999999999999862,1.28
15,2,L,22,26,29.333333333333332,-11.36363636363636,1.1818181818181819
15,2,R,25,33,33.33333333333333,-0.9999999999999859,1.32
15,3,L,23,25,30.666666666666664,-18.47826086956521,1.0869565217391304
15,3,R,24,32,32.0,0.0,1.3333333333333333
20,1,L,32,37,42.666666666666664,-13.281249999999995,1.15625
20,1,R,34,44,45.33333333333333,-2.9411764705882253,1.2941176470588236
20,2,L,32,38,42.666666666666664,-10.937499999999995,1.1875
20,2,R,33,49,44.0,11.363636363636363,1.4848484848484849
20,3,L,32,39,42.666666666666664,-8.593749999999995,1.21875
20,3,R,34,48,45.33333333333333,5.882352941176482,1.411764705882353
25,1,L,42,59,56.0,5.357142857142857,1.4047619047619047
25,1,R,44,59,58.666666666666664,0.5681818181818222,1.3409090909090908
25,2,L,42,58,56.0,3.5714285714285716,1.380952380952381
25,2,R,44,59,58.666666666666664,0.5681818181818222,1.3409090909090908
25,3,L,43,58,57.33333333333333,1.1627906976744269,1.3488372093023255
25,3,R,43,59,57.33333333333333,2.9069767441860552,1.372093023255814
30,1,L,52,67,69.33333333333333,-3.3653846153846088,1.2884615384615385
30,1,R,54,71,72.0,-1.3888888888888888,1.3148148148148149
30,2,L,53,66,70.66666666666666,-6.603773584905648,1.2452830188679245
30,2,R,54,74,72.0,2.7777777777777777,1.3703703703703705
30,3,L,51,68,68.0,0.0,1.3333333333333333
30,3,R,54,74,72.0,2.7777777777777777,1.3703703703703705
35,1,L,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,1,R,63,84,84.0,0.0,1.3333333333333333
35,2,L,61,85,81.33333333333333,4.5081967213114815,1.3934426229508197
35,2,R,63,84,84.0,0.0,1.3333333333333333
35,3,L,61,86,81.33333333333333,5.737704918032793,1.4098360655737705
35,3,R,63,86,84.0,2.380952380952381,1.3650793650793651
40,1,L,71,95,94.66666666666666,0.35211267605634805,1.3380281690140845
40,1,R,73,96,97.33333333333333,-1.3698630136986254,1.3150684931506849
40,2,L,71,96,94.66666666666666,1.4084507042253622,1.352112676056338
40,2,R,73,96,97.33333333333333,-1.3698630136986254,1.3150684931506849
40,3,L,71,88,94.66666666666666,-7.042253521126751,1.2394366197183098
40,3,R,72,105,96.0,9.375,1.4583333333333333
50,1,L,89,120,118.66666666666666,1.1235955056179856,1.348314606741573
50,1,R,91,122,121.33333333333333,0.5494505494505534,1.3406593406593406
50,2,L,90,122,120.0,1.6666666666666667,1.3555555555555556
50,2,R,91,123,121.33333333333333,1.3736263736263776,1.3516483516483517
50,3,L,90,127,120.0,5.833333333333333,1.4111111111111112
50,3,R,91,121,121.33333333333333,-0.2747252747252708,1.3296703296703296
60,1,L,108,149,144.0,3.4722222222222223,1.3796296296296295
60,1,R,109,151,145.33333333333331,3.899082568807353,1.385321100917431
60,2,L,108,151,144.0,4.861111111111111,1.3981481481481481
60,2,R,109,146,145.33333333333331,0.4587155963302883,1.3394495412844036
60,3,L,108,153,144.0,6.25,1.4166666666666667
60,3,R,109,152,145.33333333333331,4.587155963302766,1.3944954128440368
70,1,L,124,172,165.33333333333331,4.0322580645161405,1.3870967741935485
70,1,R,126,164,168.0,-2.380952380952381,1.3015873015873016
70,2,L,124,177,165.33333333333331,7.056451612903238,1.4274193548387097
70,2,R,126,169,168.0,0.5952380952380952,1.3412698412698412
70,3,L,125,169,166.66666666666666,1.4000000000000057,1.352
70,3,R,126,169,168.0,0.5952380952380952,1.3412698412698412
80,1,L,141,184,188.0,-2.127659574468085,1.3049645390070923
80,1,R,143,189,190.66666666666666,-0.8741258741258692,1.3216783216783217
80,2,L,142,185,189.33333333333331,-2.2887323943661873,1.3028169014084507
80,2,R,143,193,190.66666666666666,1.2237762237762289,1.3496503496503496
80,3,L,141,173,188.0,-7.9787234042553195,1.2269503546099292
80,3,R,143,186,190.66666666666666,-2.4475524475524426,1.3006993006993006
